Duration (in seconds),ResponseId,UserLanguage,Age,Gender,Education,Country-Birth,Race,Race_4_TEXT,Country-Residence,Native English,Other languages,Other languages 2
4154,R_3m3Kbigv6xoP5oM,EN,23,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean",
613,R_sX3f2XoMblJDRst,EN,22,Male,GCE 'A' Levels,China,Chinese,,Singapore,Yes,Chinese,
671,R_2PvPzNCFbNyxRc1,EN,24,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
432,R_3nvhGI3FrdShYwE,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1004,R_3mhfW5vED0CS2gp,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1005,R_29bvQ1gj6cFarKp,EN,23,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
5898,R_2DV8ATfRFAPkvEP,EN,20,Female,Bachelors Degree,Malaysia,Chinese,,Singapore,No,"Chinese,Malay,Other",Hokkien
4726,R_2CPnZGJg38It7cM,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
417,R_3NPyI8T83riBl5r,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
2334,R_3g2d8kyXSdivw5q,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1121,R_3kBOmtvMa4kwY8f,EN,23,Male,Bachelors Degree,Malaysia,Chinese,,Singapore,Yes,Chinese,
1802,R_3ZRGDa8cSRJdXdn,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
913,R_2PhYPCK9mEQaZQu,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
964,R_2WAJFGmQMhui64w,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
663,R_3qD3RlGUCjPLuMd,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
348,R_2R9BZ5e84QxCOPw,EN,22,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
1197,R_3NFdx5969JFxVRI,EN,23,Female,GCE 'A' Levels,Indonesia,Chinese,,Singapore,Yes,"Malay,Bahasa Indonesia",
4167,R_10wqovCZDAxYARa,EN,22,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
368,R_1qdIc6S3jeAIUZV,EN,22,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
474,R_27poJ7o8MllZwhI,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
1089,R_3kaYPTfQBP5421a,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
2189,R_2ZDBGFJp9sXJCcm,EN,24,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
1589,R_1ltm4UMEIMheyqd,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,French",
1757,R_z7ENEa2OlSHvWX7,EN,24,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
429,R_3ilmRbELQo2J1zT,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Spanish",
1419,R_264rz5AdkImrEq5,EN,20,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
1668,R_uxhXH3Jd20EKdOh,EN,22,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,"Chinese,Spanish",
482,R_1Dqfg2Up0j99EDV,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
14073,R_b9gvz9jCDkKkcfv,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
681,R_1BYlbSVl1Ovl7Yl,EN,25,Male,Bachelors Degree,Myanmar,Other,Burmese,Singapore,Yes,"Chinese,French,German,Other","Italian, Burmese "
568,R_3Mnk4wI336zRIaA,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Japanese",
1049,R_3J2aZ9BHZbovmwm,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
